"broad_market","unc_pt","net_pt","selectioncoef","market_pt","sizeunc_pt","sizenet_pt","sizemarket_pt","ma","ElogWB","ElogVA","labor_share","EWB_pc","EVA_pc","EPi_pc","Ew","workers","firms","markets","workeryears","firmyears","workers_per_firm","workers_per_market","firms_per_market","market_pt_het","beta_het","beta","rho","alpha","PsiFirm","PsiMarket","Rw_firm","Rw_market","Rf_firm","Rf_market","Rw_firm_wageshare","Rw_market_wageshare","Rf_firm_profitshare","Rf_market_profitshare","Rw_firm_share","Rw_market_share","model"
"Midwest_Goods",0.156220631744224,0.155836311238657,0.250365805033987,0.179554151230399,0.454256778883456,0.492257129567592,0.340477813386171,"ma1",16.8977828102736,17.3600066919858,0.62988130524985,43647.5227201453,91198.6607551234,47551.1380349781,10.7619302194386,9318.707,294.879,1508,42908.008,1945.136,22.0591300556876,2012.9483955714,91.2523925689623,0.157371347166388,5.35439689629591,4.56935048923947,0.843522097052605,0.253839849266573,0.0849843485181461,0.103898088545759,6801.86893541291,7837.09389532524,4041.10248719905,4940.47235000974,0.155836311238657,0.179554151230399,0.0849843485181461,0.103898088545759,0.627306728968064,0.613347936911422,"1inner"
"Midwest_Services",0.13584269385385,0.124320987203727,0.142507544962881,0.179554151230399,0.501096916323426,0.480086476462882,0.627520353497314,"ma1",15.759532795866,16.17535253562,0.659799195330602,34054.2400230125,90504.7263123053,56450.4862892928,10.6132599397728,17314.497,1051.548,4092,69044.54,6636.19,10.4042440014526,1221.03314115941,117.359141230149,0.205170788195837,3.87398819682602,4.56935048923947,0.648715060428476,0.246528481682244,0.0625452442714373,0.101582193049105,4233.65673813358,6114.58016312829,3530.70945420524,5734.36419595479,0.124320987203727,0.179554151230399,0.0625452442714373,0.101582193049105,0.545267525160131,0.51604429709732,"1inner"
"Northeast_Goods",0.125904609574295,0.131795482526102,0.189942761974569,0.179554151230399,0.480002747401056,0.516893313279882,0.322673931108544,"ma1",16.3886953807172,16.7996674212059,0.663005468650446,50693.4613893221,107545.252738537,56851.791349215,10.8110643183006,6088.53,232.717,264,26699.951,1498.971,17.8121864932677,6856.69003595275,384.9437596302,0.100781545008296,8.92245157501484,4.56935048923947,0.693638123782627,0.23634874582373,0.0738402843026881,0.11100451461847,6681.16920472402,9102.22143269073,4197.95243634314,6310.80550391016,0.131795482526102,0.179554151230399,0.0738402843026881,0.11100451461847,0.614127631361667,0.590553787398888,"1inner"
"Northeast_Services",0.113095355516224,0.109671459252095,0.115242182233032,0.179554151230399,0.353869115339709,0.359912472135332,0.307471979612634,"ma1",15.6231526616779,16.0402269493291,0.658971964646318,44194.9394557935,111126.271847549,66931.3323917556,10.7360144405713,15167.028,1054.944,744,62386.621,6411.649,9.73019904863788,5723.01816347124,588.170718282726,0.139381902058644,6.17453259878212,4.56935048923947,0.562856645669477,0.259855284328232,0.0462688875424386,0.0881071951905341,4846.92350167486,7935.38484266387,3096.83829149972,5897.13196740293,0.109671459252095,0.179554151230399,0.0462688875424386,0.0881071951905341,0.610154688404607,0.573676139463556,"1inner"
"South_Goods",0.142686205382544,0.136031299423281,0.242708658395136,0.179554151230399,0.347539259597604,0.351883768959715,0.333983668522385,"ma1",16.3820738992734,16.6753867272013,0.745788800636295,42172.3421014174,85152.1569271546,42979.8148257372,10.6984065269051,10215.128,439.641,1774,40312.311,2497.237,16.1427653843027,1586.34940185739,98.269990555643,0.163450617725424,5.11805580129328,4.56935048923947,0.719441206789938,0.136787246877736,0.173678470543058,0.232665059063461,5736.75849577895,7572.21909141802,7464.66850315788,9999.90115496676,0.136031299423281,0.179554151230399,0.173678470543058,0.232665059063461,0.434555938251293,0.43092233522451,"1inner"
"South_Services",0.143442214490616,0.14005521851959,0.238328062819999,0.179554151230399,0.479334597837372,0.584659554141425,0.142726887639722,"ma1",15.5794108399581,15.9361734443417,0.699938640378019,35764.0437730022,94210.3362882382,58446.292515236,10.6194086814555,26519.284,1908.178,4909,103227.384,10829.661,9.53191277178482,1492.7822301919,156.608884904051,0.154266704699273,5.48228016505179,4.56935048923947,0.744188923574049,0.186065599266662,0.118315186638342,0.160193771932031,5008.94096577199,6421.58252422824,6915.08400725929,9362.73205345851,0.14005521851959,0.179554151230399,0.118315186638342,0.160193771932031,0.420071324666023,0.406833156588631,"1inner"
"West_Goods",0.176150844671278,0.168219602367442,0.184052505428522,0.179554151230399,0.440833177508259,0.455430491942356,0.376119893044897,"ma1",16.4043584084798,16.640664425731,0.789539024398293,52944.1612906971,91654.1936572774,38710.0323665803,10.8089320432307,7712.759,329.566,910,31585.748,1940.742,16.2750886001334,2539.25138676743,156.02074121714,0.211311883482354,3.73234152060127,4.56935048923947,0.924107281880061,0.0507842855572144,0.518448016495707,0.538514230728873,8906.24575999877,9506.34394315646,20069.1394989382,20845.9033013788,0.168219602367442,0.179554151230399,0.518448016495707,0.538514230728873,0.307372815940447,0.313200662427657,"1inner"
"West_Services",0.145697828154394,0.119339778276916,0.181795113277039,0.179554151230399,0.464103393801663,0.444101135479735,0.554127516072543,"ma1",15.6574995579629,16.06930595457,0.662452516692657,40266.4028801912,92291.4455497634,52025.0426695722,10.6959835136861,17949.625,1314.168,2492,71355.046,7404.389,9.63685808511681,2097.69067497648,217.673712370649,0.264327448202576,2.78318637281141,4.56935048923947,0.61920052797255,0.247777405687162,0.0580172965928802,0.0990553945257578,4805.383591731,7229.99979225402,3018.35233081782,5153.36112685386,0.119339778276916,0.179554151230399,0.0580172965928802,0.0990553945257578,0.614205750207057,0.583847942370631,"1inner"
"Midwest_Goods",0.168657587117896,0.165358497210132,0.323606845849959,0.194280898240249,0.496246745205445,0.579326618561069,0.32259572915456,"ma2",16.8977828102736,17.3600066919858,0.62988130524985,43647.5227201453,91198.6607551234,47551.1380349781,10.7619302194386,9318.707,294.879,1508,42908.008,1945.136,22.0591300556876,2012.9483955714,91.2523925689623,0.175553244169273,4.69627752954411,4.14718641440186,0.821637206924777,0.245327121711044,0.0984315508120656,0.122620564371664,7217.4887639483,8479.8799200315,4680.53225966149,5830.74738236389,0.165358497210132,0.194280898240249,0.0984315508120656,0.122620564371664,0.606612540827278,0.592558225495265,"2"
"Midwest_Services",0.137565698527117,0.129666577256415,0.164556260306642,0.194280898240249,0.513906856709485,0.50775561722715,0.545136385791574,"ma2",15.759532795866,16.17535253562,0.659799195330602,34054.2400230125,90504.7263123053,56450.4862892928,10.6132599397728,17314.497,1051.548,4092,69044.54,6636.19,10.4042440014526,1221.03314115941,117.359141230149,0.177669134290132,4.62843964988882,4.14718641440186,0.617868340508654,0.241900657737936,0.0691541240620217,0.115773691823255,4415.69674485246,6616.0883405599,3903.78393221121,6535.48120292947,0.129666577256415,0.194280898240249,0.0691541240620217,0.115773691823255,0.530765911510112,0.503064544401483,"2"
